,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
0,22,woman <unknown> by scorpion on alaska airlines flight       ,,los angeles cbs <unknown> a scorpion <unknown> a woman on the hand just before her,agree,agree
1,74,justin bieber <unknown> <unknown> bear saves russian fisherman       ,,a russian man was recently able to <unknown> off a bear attack with a justin,agree,agree
2,100,man saved from bear attack thanks to his justin bieber <unknown>    ,,it all went down when <unknown> fisherman <unknown> <unknown> attack by a brown bear was,agree,agree
3,103,people actually believed <unknown> president adopted a jewish boy to stop his change into a,,many media reports described <unknown> as a boy but the guardian said he 's <number>,disagree,disagree
4,165,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,,<unknown> <unknown> from henan province in central china is said to have attacked the boy,agree,agree
5,185,aunt cuts off <unknown> penis because he walked in while she was on the toilet,,<unknown> <unknown> <number> was <unknown> the boy for her sister and became so <unknown> at,agree,agree
6,229,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,,after the operation <unknown> said i ca n't remember much but the doctor said he,agree,agree
7,271,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,,so sorry to burst your bubble <unknown> <unknown> jewish <unknown> this time but hey at,disagree,disagree
8,310,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,bear <unknown> <unknown> face and,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
9,370,rise of the <unknown> cat pet who was killed and buried by his owner climbed,,<unknown> tell fox <number> in tampa bay that the miracle <unknown> has severe trauma to,agree,agree
10,409,allegation bill <unknown> sexually molested <unknown> <unknown> are just a hoax    ,,i was not taking advantage of by mr <unknown> when i was on the <unknown>,agree,agree
11,598,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,,more woman reveals she bit off sex attackers tongue to capture dna evidence  ,agree,agree
12,725,fake lisa <unknown> tweet on <unknown> scandal fools major media outlets    ,not send a <unknown> tweet,lisa <unknown> did not send a <unknown> tweet about her <unknown> show <unknown> bill <unknown>,agree,agree
13,793,justin bieber saved a guy getting <unknown> by a bear     ,,as the bear <unknown> him mr <unknown> mobile phone went off setting off his <unknown>,agree,agree
14,795,is <unknown> real or not leading marine <unknown> rules picture of giant <unknown> <unknown> in,,a photo depicting what appears to be a <unknown> <unknown> hanging out near a <unknown>,agree,agree
15,819,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,,after the emergency operation feng went back to fan 's hospital room and severed his,agree,agree
