,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
0,74,justin bieber <unknown> <unknown> bear saves russian fisherman       ,ability to <unknown> animals wildlife,while some might argue the pop song has the ability to <unknown> animals wildlife experts,agree,agree
1,93,florida woman gets third <unknown> surgically <unknown>        ,a woman has spent <number>,a woman has spent <number> on surgery to get a third <unknown> and her dream,agree,agree
2,123,hong <unknown> riot cops forced to withdraw after democracy protesters copy do n't shoot gesture,recent months this includes requiring,but beijing has asserted more control in the city in recent months this includes requiring,agree,agree
3,165,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,<unknown> had <unknown> and was,<unknown> <unknown> had <unknown> and was lying in a pool of blood next to him,agree,agree
4,229,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,<unknown> said i ca n't,after the operation <unknown> said i ca n't remember much but the doctor said he,agree,agree
5,266,<number> afghan soldiers missing from us base apprehended at canadian border reports say  ,missing during a training exercise,boston ap the three afghanistan national army officers who went missing during a training exercise,agree,agree
6,310,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,from being <unknown> by a,justin biebers song has saved a russian man from being <unknown> by a bear ,agree,agree
7,370,rise of the <unknown> cat pet who was killed and buried by his owner climbed,<unknown> was hit by a,<unknown> <unknown> is the cats owner and says <unknown> was hit by a vehicle and,agree,agree
8,492,wife chopped her husband 's penis off after she discovered he had <unknown> on her,<unknown> to log out of,but after <unknown> to log out of his account stunned wife feng <number> came across,agree,agree
9,686,miracle cat <unknown> its way out of its own grave five days after being buried,<unknown> dug himself out of,the badly hurt weak and <unknown> <unknown> dug himself out of the grave and crept,agree,agree
10,725,fake lisa <unknown> tweet on <unknown> scandal fools major media outlets    ,<unknown> show people to comment,as gossip cop has reported the only <unknown> show people to comment on the scandal,agree,agree
11,781,missing afghan soldiers apprehended trying to cross border into canada     ,not believe the three soldiers,patrick said monday that the military does not believe the three soldiers pose a danger,agree,agree
12,791,tv show tricks chronic <unknown> into harassing their own mothers     ,'s basically a funnier <unknown>,it 's basically a funnier <unknown> version of the hoax video from last november that,disagree,disagree
13,793,justin bieber saved a guy getting <unknown> by a bear     ,know that sort of <unknown>,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
14,795,is <unknown> real or not leading marine <unknown> rules picture of giant <unknown> <unknown> in,the idea of a giant,the idea of a giant <unknown> would be very exciting unfortunately i think this is,agree,agree
15,819,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,has been arrested in china,a women has been arrested in china after reports that she chopped off her husband,agree,agree
16,873,these men <unknown> their <unknown> mothers is the best payback ever    ,<unknown> help their sons see,it could have been <unknown> to have <unknown> help their sons see the light by,agree,agree
17,896,tail of survival buried cat believed dead <unknown> back to life    ,slowly made his way back,he had dug himself out of the grave and slowly made his way back home,agree,agree
18,939,ferguson <unknown> 's photo gets edited into racist meme goes viral    ,<unknown> tells daily <unknown> you,that 's <unknown> to my character <unknown> tells daily <unknown> you can tell it 's,agree,agree
19,945,elementary school <unknown> boy after he threatens to turn fellow student invisible with the one,suspension after he brought his,<unknown> lore led a texas boy to suspension after he brought his one ring to,agree,agree
20,983,justin bieber saved this guy from a bear attack      ,know that sort of <unknown>,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
21,1005,angry passenger tossed off plane after crew wishes him merry christmas    ,man but he refused to,the crew tried to calm the unidentified man but he refused to back down and,agree,agree
22,1051,florida woman gets third <unknown> to become <unknown> <number>      ,that to me it just,when asked about her new addition she told the station that to me it just,agree,agree
23,1098,teen wakes up <unknown> surgery and asks doctors <unknown> it going    ,<unknown> <unknown> a <unknown> <unknown>,<unknown> <unknown> a <unknown> <unknown> girl woke up while it was happening and gave the,agree,agree
24,1365,<unknown> cat is getting gender assignment surgery        ,<unknown> last year a liverpool,and as for a fellow <unknown> last year a liverpool cat with both male and,agree,agree
25,1399,us video showing <unknown> beheading is authentic        ,the video showing the apparent,refresh automatically on off <number> pm the video showing the apparent beheading is called a,agree,agree
26,1524,scorpion <unknown> woman on <unknown> plane         ,    ,              ,agree,agree
27,1562,a justin bieber <unknown> just saved a mans life who was being attacked by a,<unknown> according to local media,wildlife experts believe the <unknown> according to local media the singer 's hit baby must,agree,agree
28,1587,texas boy suspended for saying he could make classmate disappear with lord of the rings,<unknown> told the daily news,it sounded unbelievable the boys father jason <unknown> told the daily news he insists his,agree,agree
29,1688,florida woman has surgery to add third <unknown> to her chest    ,<unknown> the procedure was done,<unknown> reportedly spent <number> to have a third <unknown> the procedure was done a few,agree,agree
30,1689,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,was recently fishing in russia,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
31,1699,tv show tricks chronic <unknown> into harassing their own mothers     ,<unknown> what they told about,what 's the matter with you <unknown> what they told about you was true that,agree,agree
32,1711,saudi oil <unknown> fire under control security source says      ,security forces on tuesday shot,saudi security forces on tuesday shot dead a member of an armed group that killed,agree,agree
33,1719,no argentina 's president did not <unknown> a jewish child to stop him turning into,<unknown> <unknown> babies and the,as well as feeding on <unknown> <unknown> babies and the flesh of the recently dead,disagree,disagree
34,1793,hungry florida cat defies death digs its way out of grave to return home video,didnt have a cat in,<unknown> didnt have a cat in <unknown> chance of coming back from the grave but,agree,agree
35,1796,<unknown> woman a fake           ,say how this may affect,tough to say how this may affect her prospects for a reality tv show but,agree,agree
36,1797,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,<unknown> was hit by a,<unknown> <unknown> is the cats owner and says <unknown> was hit by a vehicle and,agree,agree
37,1806,tail of survival buried cat believed dead <unknown> back to life    ,animal were so close he,because he and the animal were so close he says he couldnt bear to bury,agree,agree
38,1896,justin bieber saved this guy from a bear attack      ,in northern russia 's <unknown>,<unknown> <unknown> told the austrian times he was fishing in northern russia 's <unknown> republic,agree,agree
39,1931,<unknown> woman theyre not fake          ,<unknown> had to call <unknown>,<unknown> had to call <unknown> doctors in order to get her controversial operation she said,agree,agree
40,1997,three afghan soldiers found at canada border after leaving <unknown> <unknown> base   ,<unknown> <unknown> and captain <unknown>,the trio major jan mohammad <unknown> captain mohammad <unknown> <unknown> and captain <unknown> <unknown> have,agree,agree
41,2022,<unknown> spouse chops off unfaithful husband 's manhood twice      ,he was stopped and the,he was stopped and the woman was taken in for treatment and then we discovered,agree,agree
42,2037,when street <unknown> realize the women they 're <unknown> are their <unknown> in disguise ,<unknown> their own mothers <unknown>,they filmed men <unknown> their own mothers <unknown> tracked down the mothers of their very,agree,agree
43,2069,man saved from bear attack thanks to his justin bieber <unknown>    ,to thank for his <unknown>,<unknown> said he has his granddaughter to thank for his <unknown> selection   ,agree,agree
44,2151,pregnant woman loses eye after police shoot bean bag at her    ,<unknown> also remained optimistic for,<unknown> also remained optimistic for thanksgiving but made it clear that she feels the police,agree,agree
45,2162,cheese blamed for north korean leader kim jong-un 's broken ankles    ,be responsible for the his,metro reports that daily binges on emmental are believed to be responsible for the his,agree,agree
46,2168,rise of the <unknown> cat pet who was killed and buried by his owner climbed,was outside owner <unknown> <unknown>,but five days later he was outside owner <unknown> <unknown> 's house again expected dinner,agree,agree
47,2200,report woman who claimed to have third <unknown> added is fake    ,<unknown> is fake was the,the final bit of evidence that suggests <unknown> third <unknown> is fake was the final,agree,agree
48,2253,three afghan soldiers who vanished from massachusetts military base are found trying to cross into,<unknown> <unknown> and captain <unknown>,major jan mohammad <unknown> captain mohammad <unknown> <unknown> and captain <unknown> <unknown> were stopped at,agree,agree
49,2293,<unknown> cat is getting gender assignment surgery        ,<unknown> is a seemingly regular,<unknown> is a seemingly regular household cat that enjoys being scratched under the chin and,agree,agree
50,2332,justin bieber saves man from bear attack        ,    ,              ,agree,agree
51,2398,the story of the <unknown> lady is as fake as her third <unknown>  ,from the tampa international airport,<unknown> has uncovered a stolen <unknown> report from the tampa international airport that lists a,agree,agree
52,2484,a justin bieber <unknown> just saved a mans life who was being attacked by a,know that sort of <unknown>,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
53,2486,lisa <unknown> did not send <unknown> tweet about bill <unknown> twitter account fake  ,posted on an unverified twitter,a <unknown> tweet posted on an unverified twitter account in lisa <unknown> name that was,agree,agree
54,2511,wife cuts off husband 's penis twice after catching him cheating    ,he was stopped and the,he was stopped and the woman was taken in for treatment and then we discovered,agree,agree
55,2533,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,<unknown> writes moving letter to,<unknown> writes moving letter to teacher who came out as gay the letter that the,agree,agree
56,2580,children in dog fighting horror          ,a video of one fight,she also recorded a video of one fight which was much <unknown> than what was,agree,agree
57,2588,<unknown> cat to get gender assignment surgery        ,a female cat but she,<unknown> said she 'd rather have a female cat but she 'll follow the veterinarian,agree,agree
58,2607,justin bieber <unknown> saved a russian fisherman during a bear attack    ,<unknown> in a bare <unknown>,<unknown> may not be able to take orlando <unknown> in a bare <unknown> fight but,agree,agree
59,2619,i am lost for words <unknown> boy billed for missing friends birthday party  ,alex out with his <unknown>,so where was alex out with his <unknown> whom he chose over the party when,agree,agree
60,2621,finally proof that justin bieber is unbearable russian fisherman saved from bear attack when <unknown>,    ,              ,agree,agree
61,2629,president of argentina <unknown> boy to stop him from becoming a <unknown>   ,<unknown> to <unknown> a <unknown>,under a law the country has followed since the <unknown> to <unknown> a <unknown> legend,agree,agree
62,2631,<unknown> <unknown> off pc <unknown> businesses         ,<unknown> and dave <unknown> in,founded by bill <unknown> and dave <unknown> in a palo alto california garage in <number>,agree,agree
63,2693,no joke <unknown> billed for missing friends birthday party      ,<unknown> parents told his friends,after alex was invited to the bash <unknown> parents told his friends mother he would,agree,agree
64,2728,a peruvian tv show is <unknown> men into <unknown> their mothers for feminism  ,'s basically a funnier <unknown>,it 's basically a funnier <unknown> version of the hoax video from last november that,disagree,disagree
